section,offence_name,class,minimum_indictable,maximum_indictable,minimum_summary,maximum_summary
cc94,unauthorized possession in motor vehicle,hybrid,None,10y,None,summary
cc95,possession of prohibited or restricted firearm with ammunition,hybrid,None,14y,None,summary
cc96,possession of weapon obtained by commission of offence,hybrid,None,14y,None,summary
cc98,breaking and entering to steal firearm,indictable,None,life,None,None
cc98.1,robbery to steal firearm,indictable,None,life,None,None
cc99(2),weapons trafficking — firearm — first offence,indictable,3y,14y,None,None
cc99(2),weapons trafficking — firearm — subsequent offence,indictable,5y,14y,None,None
cc99(3),weapons trafficking — other,indictable,None,14y,None,None
cc100(2),possession for purpose of weapons trafficking — firearm — first offence,indictable,3y,14y,None,None
cc100(2),possession for purpose of weapons trafficking — firearm — subsequent offence,indictable,5y,14y,None,None
cc100(3),possession for purpose of weapons trafficking — other,indictable,None,14y,None,None
cc101,transfer without authority,hybrid,None,5y,None,summary
cc102,making automatic firearm,hybrid,1y,10y,None,summary
cc102.1,possession or distribution of computer data — firearm manufacture,hybrid,None,10y,None,summary
cc103(2),importing or exporting knowing it is unauthorized — firearm — first offence,indictable,3y,14y,None,None
cc103(2),importing or exporting knowing it is unauthorized — firearm — subsequent offence,indictable,5y,14y,None,None
cc103(3),importing or exporting knowing it is unauthorized — other,indictable,None,14y,None,None
cc104,importing or exporting knowing it is unauthorized — firearm,hybrid,None,5y,None,summary
cc104.1,altering cartridge magazine,hybrid,None,5y,None,summary
cc105,losing or finding — firearm,hybrid,None,5y,None,summary
cc106,destroying — firearm,hybrid,None,5y,None,summary
cc107,false statements — firearm,hybrid,None,5y,None,summary
cc108,tampering with serial number,hybrid,None,5y,None,summary
cc117.01,possession contrary to order,hybrid,None,10y,None,summary
cc119,bribery of judicial officers,indictable,None,14y,None,None
cc120,bribery of officers,indictable,None,14y,None,None
cc121,frauds on the government,hybrid,None,5y,None,summary
cc121.1,selling tobacco products and raw leaf tobacco,hybrid,None,5y,None,summary
cc122,breach of trust by public officer,hybrid,None,5y,None,summary
cc123,municipal corruption,indictable,None,5y,None,None
cc123(1),municipal corruption,summary,None,None,None,summary
cc123(2),influencing municipal official,hybrid,None,5y,None,summary
cc124,selling or purchasing office,hybrid,None,5y,None,summary
cc125,influencing or negotiating appointments or dealing in offices,hybrid,None,5y,None,summary
cc126,disobeying a statute,hybrid,None,2y,None,summary
cc127,disobeying order of court,hybrid,None,2y,None,summary
cc128,misconduct of officers executing process,hybrid,None,2y,None,summary
cc129,offences relating to public or peace officer,hybrid,None,2y,None,summary
cc130,personating peace officer,hybrid,None,5y,None,summary
cc132,perjury,indictable,None,14y,None,None
cc136,witness giving contradictory evidence,indictable,None,14y,None,None
cc137,fabricating evidence,indictable,None,14y,None,None
cc138,offences relating to affidavits,indictable,None,14y,None,None
cc139(1),obstructing justice — surety indemnity,hybrid,None,2y,None,summary
cc139(2),obstructing justice — other,hybrid,None,10y,None,summary
cc140,public mischief,hybrid,None,5y,None,summary
cc141,compounding indictable offence,hybrid,None,2y,None,summary
cc142,corruptly taking reward for recovery of goods,hybrid,None,5y,None,summary
cc144,prison breach,hybrid,None,10y,None,summary
cc145(1),escape and being at large without excuse,hybrid,None,2y,None,summary
cc145(2),failure to attend court or surrender,hybrid,None,2y,None,summary
cc145(3),failure to comply with appearance notice or summons,hybrid,None,2y,None,summary
cc145(4),failure to comply with undertaking,hybrid,None,2y,None,summary
cc145(5),failure to comply with order,hybrid,None,2y,None,summary
cc146,permitting or assisting escape,hybrid,None,14y,None,summary
cc147,rescue or permitting escape,hybrid,None,5y,None,summary
cc148,assisting prisoner of war to escape,hybrid,None,5y,None,summary
cc151,sexual interference,hybrid,1y,14y,90d,729d
cc152,invitation to sexual touching,hybrid,1y,14y,90d,729d
cc153,sexual exploitation,hybrid,1y,14y,90d,729d
cc153.1,sexual exploitation of person with disability,hybrid,None,10y,None,summary
cc155,incest — under 16,indictable,5y,14y,None,None
cc155,incest — other,indictable,None,14y,None,None
cc160(1),bestiality,hybrid,None,10y,None,summary
cc160(2),compelling the commission of bestiality,hybrid,None,10y,None,summary
cc160(3),bestiality in presence of or by child,hybrid,1y,14y,6m,summary
cc161(4),failure to comply with 161 order,hybrid,None,4y,None,summary
cc162(1),voyeurism,hybrid,None,5y,None,summary
cc162(4),printing publication of voyeuristic recordings,hybrid,None,5y,None,summary
cc162.1,publication of an intimate image without consent,hybrid,None,5y,None,summary
cc162.2(4),failure to comply with prohibition order,hybrid,None,4y,None,summary
cc163,obscene materials,hybrid,None,2y,None,summary
cc163.1(2),making child pornography,indictable,1y,14y,None,None
cc163.1(3),distribution of child pornography,indictable,1y,14y,None,None
cc163.1(4),possession of child pornography,hybrid,1y,10y,6m,729d
cc163.1(4.1),accessing child pornography,hybrid,1y,10y,6m,729d
cc167,immoral theatrical performance,hybrid,None,2y,None,summary
cc168,mailing obscene matter,hybrid,None,2y,None,summary
cc170,parent or guardian procuring sexual activity,indictable,1y,14y,None,None
cc171,householder permitting sexual activity,indictable,1y,14y,None,None
cc171.1,making sexually explicit material available to child,hybrid,6m,14y,90d,729d
cc172,corrupting children,hybrid,None,2y,None,summary
cc172.1,luring a child,hybrid,1y,14y,6m,729d
cc172.2,agreement or arrangement — sexual offence against child,hybrid,1y,14y,6m,729d
cc173(1),indecent acts,hybrid,None,2y,None,summary
cc173(2),exposure,hybrid,90,2y,30,6m
cc174,nudity,summary,None,None,None,summary
cc175,cause disturbance,summary,None,None,None,summary
cc176,obstructing or violence to or arrest of officiating clergyman,hybrid,None,2y,None,summary
cc177,trespassing at night,summary,None,None,None,summary
cc180,common nuisance,hybrid,None,2y,None,summary
cc182,dead body,hybrid,None,5y,None,summary
cc184,interception,hybrid,None,5y,None,summary
cc184.5,interception of radio-based telephone,hybrid,None,5y,None,summary
cc191,possession — private communication interception device,hybrid,None,2y,None,summary
cc193,disclosure of information,hybrid,None,2y,None,summary
cc193.1,disclosure of information received from interception of radio-based telephone communications,hybrid,None,2y,None,summary
cc201(1),keeping gaming or betting house,hybrid,None,2y,None,summary
cc201(2),person found in or owner permitting use,summary,None,None,None,summary
cc202,betting pool-selling book-making — first offence,indictable,None,2y,None,None
cc202,betting pool-selling book-making — second offence,indictable,14d,2y,None,None
cc202,betting pool-selling book-making — subsequent offence,indictable,3m,2y,None,None
cc203,placing bets on behalf of others — first offence,indictable,None,2y,None,None
cc203,placing bets on behalf of others — second offence,indictable,14d,2y,None,None
cc203,placing bets on behalf of others — subsequent offence,indictable,3m,2y,None,None
cc204,contravention — horse racing regulations,hybrid,None,2y,None,summary
cc206(1),offence in relation to lotteries and games of chance,hybrid,None,2y,None,None
cc206(4),ticket sales in relation to lotteries and games of chance,summary,None,None,None,summary
cc207(3)(a),offence — permitted lotteries — unauthorized management or operation,hybrid,None,2y,None,summary
cc207(3)(b),offence — permitted lotteries — unauthorized participation,summary,None,None,None,summary
cc207.1(3)(a),offence — lottery scheme on an international cruise ship — unauthorized management or operation,hybrid,None,2y,None,summary
cc207.1(3)(b),offence — lottery scheme on an international cruise ship — unauthorized participation,summary,None,None,None,summary
cc209,cheating at play,hybrid,None,2y,None,summary
cc213(1),stopping or impeding traffic — sexual services for consideration,summary,None,None,None,summary
cc213(1.1),communicating to provide sexual services for consideration,summary,None,None,None,summary
cc215,offence — duty of persons to provide necessaries,hybrid,None,5y,None,summary
cc218,abandoning child,hybrid,None,5y,None,summary
cc220(a),criminal negligence causing death — firearm,indictable,4y,life,None,None
cc220(b),criminal negligence causing death — other,indictable,None,life,None,None
cc221,criminal negligence causing bodily harm,hybrid,None,10y,None,summary
cc231(2),murder — first degree,indictable,life,life,None,None
cc231(7),murder — second degree,indictable,life,life,None,None
cc236(a),manslaughter — firearm,indictable,4y,life,None,None
cc236(b),manslaughter,indictable,None,life,None,None
cc237,infanticide,hybrid,None,5y,None,summary
cc238,killing unborn child in act of birth,indictable,None,life,None,None
cc239(1)(a),attempt to commit murder — restricted or prohibited firearm — first offence,indictable,5y,life,None,None
cc239(1)(a),attempt to commit murder — restricted or prohibited firearm — subsequent offence,indictable,7y,life,None,None
cc239(1)(a.1),attempt to commit murder — firearm,indictable,4y,life,None,None
cc239(1)(b),attempt to commit murder,indictable,None,life,None,None
cc240,accessory after the fact to murder,indictable,None,life,None,None
cc240.1,removal without informed consent — trafficking in human organs,indictable,None,14y,None,None
cc241,counselling or aiding suicide,indictable,None,14y,None,None
cc241.3,failure to comply with safeguards — medical assistance in dying,hybrid,None,5y,None,summary
cc241.31(4),failure to comply — filing information — medical assistance in dying,hybrid,None,2y,None,summary
cc241.31(5),failure to comply — regulations — medical assistance in dying,hybrid,None,2y,None,summary
cc241.4,forgery — medical assistance in dying,hybrid,None,5y,None,summary
cc242,neglect to obtain assistance in childbirth,hybrid,None,5y,None,summary
cc243,concealing body of child,hybrid,None,2y,None,summary
cc244(2)(a),discharging firearm with intent — restricted or prohibited firearm — first offence,indictable,5y,life,None,None
cc244(2)(a),discharging firearm with intent — restricted or prohibited firearm — subsequent offence,indictable,7y,life,None,None
cc244(2)(b),discharging firearm with intent,indictable,None,14y,None,None
cc244.1,causing bodily harm with intent — air gun or pistol,indictable,None,14y,None,None
cc244.2(3)(a),discharging firearm — recklessness — restricted or prohibited firearm — first offence,indictable,5y,14y,None,None
cc244.2(3)(a),discharging firearm — recklessness — restricted or prohibited firearm — subsequent offence,indictable,7y,14y,None,None
cc244.2(3)(b),discharging firearm — recklessness,indictable,None,14y,None,None
cc245(1)(a),administering noxious thing — intent to cause bodily harm or endanger life,indictable,None,14y,None,None
cc245(1)(b),administering noxious thing — intent to aggrieve or annoy,indictable,None,2y,None,None
cc246,overcoming resistance to commission of offence,indictable,None,life,None,None
cc247(1),traps likely to cause bodily harm,hybrid,None,5y,None,summary
cc247(2),traps likely to cause bodily harm — causing bodily harm,hybrid,None,10y,None,summary
cc247(3),traps likely to cause bodily harm — offence-related place,hybrid,None,10y,None,summary
cc247(4),traps likely to cause bodily harm — offence-related place — causing bodily harm ,indictable,None,14y,None,None
cc247(5),traps likely to cause bodily harm — death,indictable,None,life,None,None
cc248,interfering with transportation facility,indictable,None,life,None,None
cc262,impeding attempt to save life,hybrid,None,10y,None,summary
cc263(3)(c),offences — duty to safeguard opening in ice or excavation on land,summary,None,None,None,summary
cc264,criminal harassment,hybrid,None,10y,None,summary
cc264.1(a),uttering threats — death or bodily harm,hybrid,None,5y,None,summary
cc264.1(b),uttering threats — damage property,hybrid,None,2y,None,summary
cc264.1(c),uttering threats — kill animal,hybrid,None,2y,None,summary
cc266,assault,hybrid,None,5y,None,summary
cc267,assault with a weapon or causing bodily harm,hybrid,None,10y,None,summary
cc268,aggravated assault,indictable,None,14y,None,None
cc269,unlawfully causing bodily harm,hybrid,None,10y,None,summary
cc269.1,torture,indictable,None,14y,None,None
cc270,assaulting a peace officer,hybrid,None,5y,None,summary
cc270.01,assaulting a peace officer with a weapon or causing bodily harm,hybrid,None,10y,None,summary
cc270.02,aggravated assault of a peace officer,indictable,None,14y,None,None
cc270.1,disarming a peace officer,hybrid,None,5y,None,summary
cc271(a),sexual assault,hybrid,None,10y,None,18m
cc271(b),sexual assault — complainant under 16,hybrid,1y,14y,6m,729d
cc272(2)(a),sexual assault with a weapon threats to a third party or causing bodily harm — restricted or prohibited firearm or criminal organization — first offence,indictable,5y,14y,None,None
cc272(2)(a),sexual assault with a weapon threats to a third party or causing bodily harm — restricted or prohibited firearm or criminal organization — subsequent offence,indictable,7y,14y,None,None
cc272(2)(a.1),sexual assault with a weapon threats to a third party or causing bodily harm — firearm,indictable,4y,14y,None,None
cc272(2)(a.2),sexual assault with a weapon threats to a third party or causing bodily harm — complainant under 16,indictable,5y,14y,None,None
cc272(2)(b),sexual assault with a weapon threats to a third party or causing bodily harm,indictable,None,14y,None,None
cc273(2)(a),aggravated sexual assault — restricted or prohibited firearm or criminal organization — first offence,indictable,5y,life,None,None
cc273(2)(a),aggravated sexual assault — restricted or prohibited firearm or criminal organization — subsequent offence,indictable,7y,life,None,None
cc273(2)(a.1),aggravated sexual assault — firearm,indictable,4y,life,None,None
cc273(2)(a.2),aggravated sexual assault — complainant under 16,indictable,5y,life,None,None
cc273(2)(b),aggravated sexual assault,indictable,None,life,None,None
cc273.3,removal of child from canada — sexual offences,hybrid,None,5y,None,summary
cc279(1.1)(a),kidnapping — restricted or prohibited firearm or criminal organization — first offence,indictable,5y,life,None,None
cc279(1.1)(a),kidnapping — restricted or prohibited firearm or criminal organization — subsequent offence,indictable,7y,life,None,None
cc279(1.1)(a.1),kidnapping — firearm,indictable,4y,life,None,None
cc279(1.1)(a.2),kidnapping — complainant under 16,indictable,5y,life,None,None
cc279(1.1)(b),kidnapping,indictable,None,life,None,None
cc279(2),forcible confinement,hybrid,None,10y,None,summary
cc279.01(1)(a),trafficking in persons — additional violent offence,indictable,5y,life,None,None
cc279.01(1)(b),trafficking in persons,indictable,None,14y,None,None
cc279.011(1)(a),trafficking of a person under the age of eighteen years — additional violent offence,indictable,6y,life,None,None
cc279.011(1)(b),trafficking of a person under the age of eighteen years,indictable,5y,14y,None,None
cc279.02(1),material benefit — trafficking,hybrid,None,10y,None,summary
cc279.02(2),material benefit — trafficking of person under 18 years,indictable,2y,14y,None,None
cc279.03(1),withholding or destroying documents — trafficking,hybrid,None,5y,None,summary
cc279.03(2),withholding or destroying documents — trafficking of person under 18 years,indictable,1y,14y,None,None
cc279.1(2)(a),hostage taking — restricted or prohibited firearm or criminal organization — first offence,indictable,5y,life,None,None
cc279.1(2)(a),hostage taking — restricted or prohibited firearm or criminal organization — subsequent offence,indictable,7y,life,None,None
cc279.1(2)(a.1),hostage taking — firearm,indictable,4y,life,None,None
cc279.1(2)(b),hostage taking,indictable,None,life,None,None
cc280,abduction of person under age of 16,hybrid,None,5y,None,summary
cc281,abduction of person under age of 14,hybrid,None,10y,None,summary
cc282,abduction in contravention of custody or parenting order,hybrid,None,10y,None,summary
cc283,abduction,hybrid,None,10y,None,summary
cc286.1(1)(a)(i),obtaining sexual services for consideration — public place — first offence,hybrid,2000$,5y,1000$,729d-5000$-729d&5000$
cc286.1(1)(a)(i),obtaining sexual services for consideration — public place — subsequent offence,hybrid,4000$,5y,2000$,729d-5000$-729d&5000$
cc286.1(1)(a)(ii),obtaining sexual services for consideration — first offence,hybrid,1000$,5y,500$,729d-5000$-729d&5000$
cc286.1(1)(a)(ii),obtaining sexual services for consideration — subsequent offence,hybrid,2000$,5y,1000$,729d-5000$-729d&5000$
cc286.1(2),obtaining sexual services for consideration from person under 18 years — first offence,indictable,6m,10y,None,None
cc286.1(2),obtaining sexual services for consideration from person under 18 years — subsequent offence,indictable,1y,10y,None,None
cc286.2(1),material benefit from sexual services,hybrid,None,10y,None,summary
cc286.2(2),material benefit from sexual services provided by person under 18 years,indictable,2y,14y,None,None
cc286.3(1),procuring,indictable,None,14ym,None,None
cc286.3(2),procuring — person under 18 years,indictable,5y,14y,None,None
cc286.4,advertising sexual services,hybrid,None,5y,None,summary
cc291,bigamy,hybrid,None,5y,None,summary
cc292,procuring feigned marriage,hybrid,None,5y,None,summary
cc293,polygamy,hybrid,None,5y,None,summary
cc293.1,forced marriage,hybrid,None,5y,None,summary
cc293.2,marriage under age of 16 years,hybrid,None,5y,None,summary
cc294,pretending to solemnize marriage,hybrid,None,2y,None,summary
cc295,marriage contrary to law,hybrid,None,2y,None,summary
cc300,libel — publishing libel known to be false,hybrid,None,5y,None,summary
cc301,libel — publishing defamatory libel,hybrid,None,2y,None,summary
cc302,libel — extortion,hybrid,None,5y,None,summary
cc318,advocating genocide,indictable,None,5y,None,None
cc319(1),public incitement of hatred,hybrid,None,2y,None,summary
cc319(2),wilful promotion of hatred,hybrid,None,2y,None,summary
cc319(2.1),wilful promotion of antisemitism,hybrid,None,2y,None,summary
cc320.102,conversion therapy,hybrid,None,5y,None,summary
cc320.103,conversion therapy — promoting or advertising,hybrid,None,2y,None,summary
cc320.104,conversion therapy — material benefit,hybrid,None,2y,None,summary
cc320.13(1),dangerous operation,hybrid,None,10y,None,summary
cc320.13(2),dangerous operation — causing bodily harm — first offence,hybrid,1000$,14y,1000$,5000$-729d-729d&5000$
cc320.13(2),dangerous operation — causing bodily harm — second offence,hybrid,30d,14y,30d,5000$-729d-729d&5000$
cc320.13(2),dangerous operation — causing bodily harm — subsequent offence,hybrid,120d,14y,120d,5000$-729d-729d&5000$
cc320.13(3),dangerous operation — causing death — first offence,hybrid,1000$,life,None,None
cc320.13(3),dangerous operation — causing death — second offence,hybrid,30d,life,None,None
cc320.13(3),dangerous operation — causing death — subsequent offence,hybrid,120d,life,None,None
cc320.14(1),operation while impaired — first offence,hybrid,1000$,10y,1000$,5000$-729d-729d&5000$
cc320.14(1),operation while impaired — first offence — BAC between 120mg and 160mg,hybrid,1500$,10y,1500$,5000$-729d-729d&5000$
cc320.14(1),operation while impaired — first offence — BAC over 160mg,hybrid,2000$,10y,2000$,5000$-729d-729d&5000$
cc320.14(1),operation while impaired — second offence,hybrid,30d,10y,30d,5000$-729d-729d&5000$
cc320.14(1),operation while impaired — subsequent offence,hybrid,120d,10y,120d,5000$-729d-729d&5000$
cc320.14(2),operation while impaired — causing bodily harm — first offence,hybrid,1000$,14y,1000$,5000$-729d-729d&5000$
cc320.14(2),operation while impaired — causing bodily harm — second offence,hybrid,30d,14y,30d,5000$-729d-729d&5000$
cc320.14(2),operation while impaired — causing bodily harm — subsequent offence,hybrid,120d,14y,120d,5000$-729d-729d&5000$
cc320.14(3),operation while impaired — causing death — first offence,indictable,1000$,life,None,None
cc320.14(3),operation while impaired — causing death — second offence,indictable,30d,life,None,None
cc320.14(3),operation while impaired — causing death — subsequent offence,indictable,120d,life,None,None
cc320.14(4),operation while impaired — low blood drug concentration,summary,None,None,None,1000$
cc320.15(1),failure or refusal to comply with demand — first offence,hybrid,2000$,10y,1000$,5000$-729d-729d&5000$
cc320.15(1),failure or refusal to comply with demand — second offence,hybrid,30d,10y,30d,5000$-729d-729d&5000$
cc320.15(1),failure or refusal to comply with demand — subsequent offence,hybrid,120d,10y,120d,5000$-729d-729d&5000$
cc320.15(2),failure or refusal to comply with demand — accident resulting in bodily harm — first offence,hybrid,1000$,10y,1000$,5000$-729d-729d&5000$
cc320.15(2),failure or refusal to comply with demand — accident resulting in bodily harm — second offence,hybrid,30d,10y,30d,5000$-729d-729d&5000$
cc320.15(2),failure or refusal to comply with demand — accident resulting in bodily harm — subsequent offence,hybrid,120d,10y,120d,5000$-729d-729d&5000$
cc320.15(3),failure or refusal to comply with demand — accident resulting in death — first offence,indictable,1000$,life,None,None
cc320.15(3),failure or refusal to comply with demand — accident resulting in death — second offence,indictable,30d,life,None,None
cc320.15(3),failure or refusal to comply with demand — accident resulting in death — subsequent offence,indictable,120d,life,None,None
cc320.16(1),failure to stop after accident,hybrid,None,10y,None,summary
cc320.16(2),failure to stop after accident — accident resulting in bodily harm — first offence,hybrid,1000$,10y,1000$,5000$-729d-729d&5000$
cc320.16(2),failure to stop after accident — accident resulting in bodily harm — second offence,hybrid,30d,10y,30d,5000$-729d-729d&5000$
cc320.16(2),failure to stop after accident — accident resulting in bodily harm — subsequent offence,hybrid,120d,10y,120d,5000$-729d-729d&5000$
cc320.16(3),failure to stop after accident — accident resulting in death — first offence,indictable,1000$,life,None,None
cc320.16(3),failure to stop after accident — accident resulting in death — second offence,indictable,30d,life,None,None
cc320.16(3),failure to stop after accident — accident resulting in death — subsequent offence,indictable,120d,life,None,None
cc320.17,flight from peace officer,hybrid,None,10y,None,summary
cc320.18,operation while prohibited,hybrid,None,10y,None,summary
cc327,possession of device to obtain telecommunication facility or service,hybrid,None,2y,None,summary
cc333.1(1),motor vehicle theft,hybrid,None,10y,None,summary
cc333.1(1),motor vehicle theft — third or subsequent offence,indictable,6m,10y,None,None
cc333.1(3),motor vehicle theft — violence used threatened or attempted,indictable,None,14y,None,None
cc333.1(4),motor vehicle theft — criminal organization,indictable,None,14y,None,None
cc333.2(1),possession of device for purpose of committing theft,hybrid,None,10y,None,summary
cc333.2(2),distribution of device linked to theft,hybrid,None,10y,None,summary
cc334(a),theft over $5000,hybrid,None,10y,None,summary
cc334(b),theft under $5000,hybrid,None,2y,None,summary
cc335,taking motor vehicle or vessel or found therein without consent,summary,None,None,None,summary
cc336,criminal breach of trust,indictable,None,14y,None,None
cc338(1),fraudulently taking cattle or defacing brand,hybrid,None,5y,None,summary
cc338(2),theft of cattle,hybrid,None,10y,None,summary
cc339(1),taking possession of drift timber,hybrid,None,5y,None,summary
cc339(2),dealer in second-hand goods U2014 — registered lumbering equipment,summary,None,None,None,summary
cc340,destroying documents of title,hybrid,None,10y,None,summary
cc341,fraudulent concealment,hybrid,None,2y,None,summary
cc342(1),theft forgery of credit card,hybrid,None,10y,None,summary
cc342(3),unauthorized use of credit card data,hybrid,None,10y,None,summary
cc342.01,instruments for copying credit card data or forging or falsifying credit cards,hybrid,None,10y,None,summary
cc342.1,unauthorized use of computer,hybrid,None,10y,None,summary
cc342.2,possession of device to obtain unauthorized use of computer system or commit mischief,hybrid,None,2y,None,summary
cc344(1)(a)(i),robbery — restricted or prohibited firearm or criminal organization — first offence,indictable,5y,life,None,None
cc344(1)(a)(ii),robbery — restricted or prohibited firearm or criminal organization — subsequent offence,indictable,7y,life,None,None
cc344(1)(b),robbery,indictable,None,life,None,None
cc345,stopping mail with intent,indictable,None,life,None,None
cc346(1.1)(a)(i),extortion — restricted or prohibited firearm or criminal organization — first offence,indictable,5y,life,None,None
cc346(1.1)(a)(ii),extortion — restricted or prohibited firearm or criminal organization — subsequent offence,indictable,7y,life,None,None
cc346(1.1)(b),extortion,indictable,None,life,None,None
cc347,criminal interest rate,hybrid,None,5y,None,25000$-729d-729d&25000$
cc348(1)(d),breaking and entering with intent committing offence or breaking out — dwelling-house,indictable,None,life,None,None
cc348(1)(e),breaking and entering with intent committing offence or breaking out — non-dwelling-house,hybrid,None,10y,summary,None
cc349,being unlawfully in dwelling-house,hybrid,None,10y,None,summary
cc351(1),possession of break-in instrument,hybrid,None,10y,None,summary
cc351(2),disguise with intent,hybrid,None,10y,None,summary
cc352,possession of instruments for breaking into coin-operated or currency exchange devices,hybrid,None,2y,None,summary
cc353,selling automobile master key,hybrid,None,2y,None,summary
